python_coding_ability,r_coding_ability,ml_econometrics_confidence,ml_econometrics_interest,customer_topics_interest,ideal_job_pct_time_with_data,ideal_job_pct_time_on_customers,major,minor
10,20,0,15,70,70,70,Business Economics,Supply Chain Management
85,70,75,50,25,20,5,ICAM Music & Business Economics,Computer Science
0,70,70,80,90,70,80,Business Economics,NA
0,40,20,50,70,20,30,Political Science & Business Economics,NA
0,50,50,70,70,50,50,Business Economics,NA
0,40,40,70,90,50,70,Business Economics,NA
40,60,30,50,70,70,70,Business Economics,NA
7,15,35,7,60,40,20,Business Economics,Accounting
0,20,50,100,100,60,80,Business Economics,Engineering Mechanics
45,80,65,88,90,65,70,Economics,NA
0,50,30,80,80,70,70,Business Economics,Finance
25,25,50,75,70,40,80,Business Economics,Business Analytics
0,50,40,60,80,80,80,Business Economics,NA
0,2,0,45,80,75,90,Business Economics,Cognitive Science & Philosophy
0,0,0,30,90,70,70,Anthropology,Marketing
15,50,70,85,95,70,70,Business Economics,NA
60,40,80,100,100,100,100,Business Economics,Marketing
0,0,20,100,100,50,50,Business Economics,Entrepreneurship & Innovation
0,80,85,95,100,50,50,Business Economics,NA
40,50,70,75,60,70,50,Business Economics,NA
0,50,80,100,100,90,90,Business Economics,Computer Science
0,60,30,20,70,20,40,Business Economics,Marketing
20,20,20,50,70,30,40,Mathematics & Economics,Finance & Business
30,40,0,20,70,80,60,Business Economics,NA
45,60,70,70,75,60,70,Business Economics,NA
10,10,10,0,10,8,10,Business Economics,Finance
10,0,50,90,80,95,80,Business Economics,Supply Chain Management & Finance & Mathematics
69,50,50,10,100,75,100,ICAM,Marketing
10,20,70,80,100,10,10,Business Economics,NA
0,39,80,55,90,40,0,Business Economics,NA
0,0,0,100,100,100,100,Business Economics,NA
0,10,10,30,60,70,70,Business Economics,NA
20,10,10,90,80,50,50,Business Economics,Business Analytics
30,20,10,20,60,50,70,Business Economics,NA
0,20,20,100,100,0,100,Business Economics,Sociology
1,15,20,50,75,75,50,Business Economics,Finance
70,75,80,70,80,50,70,Business Economics,NA
15,25,54,87,92,40,60,Business Economics,NA
0,0,20,50,70,50,70,Business Economics,Finance
20,10,10,60,80,50,60,Business Psychology,Marketing
0,100,90,90,90,80,70,Business Economics,NA
5,3,4,7,8,90,70,Business Economics,Business Analytics
0,50,50,0,0,0,100,Business Economics,Portuguese
50,40,20,30,90,70,100,Business Psychology,Computational Social Science
0,50,76,80,90,40,60,Business Economics,NA
0,40,10,50,60,40,60,Business Economics,NA
0,0,0,20,100,50,50,Business Economics,NA
0,0,50,50,70,60,70,Business Economics,Finance
0,0,50,80,50,0,0,Economics,NA
70,50,60,80,90,100,80,Business Economics,Business Analytics
40,60,30,70,50,60,90,Business Economics,NA
0,55,45,60,60,65,100,Business Economics,NA
50,50,70,70,80,40,80,Business Economics,Finance & Japanese
10,10,50,50,20,10,10,Business Economics,NA
20,50,50,70,70,80,50,Business Economics,Finance
0,0,0,0,90,70,80,Business Economics,Accounting
0,20,20,100,100,90,90,Business Economics,Finance
20,50,60,100,100,50,100,Business Economics,Computer Science
5,20,50,40,60,30,60,Business Economics,Accounting
0,10,0,20,60,70,80,Business Economics,NA
0,1,5,68,70,50,50,Business Economics,NA
0,50,50,75,80,50,50,Business Economics,Accounting
0,40,20,90,80,60,100,Business Economics,NA
20,20,30,0,70,30,50,Business Economics,Business Analytics
25,25,10,60,80,40,90,Business Economics,NA
1,2,15,40,90,30,90,Business Economics,Entrepreneurship & Innovation
0,75,60,80,80,100,60,Business Economics,Accounting
0,20,20,20,40,10,70,Business Economics,NA
0,0,0,0,50,40,50,Urban Studies,NA
30,40,10,40,70,35,60,Business Economics,Business Analytics
60,30,20,80,100,20,80,Business Economics,Finance & Real Estate
0,10,20,20,35,65,85,Business Economics,NA
80,80,20,100,100,0,100,Business Economics,Computer Science
30,50,50,50,70,30,70,Business Economics,NA
10,70,60,20,100,30,80,Business Economics,Marketing
0,10,10,25,25,50,25,Business Economics,Accounting
20,60,70,70,80,10,70,Business Economics,Accounting
30,30,30,40,60,50,70,Business Psychology,Marketing
70,60,60,80,72,100,80,Business Economics,Computational Social Science
0,60,50,70,70,80,50,Business Economics,NA
0,0,30,40,60,60,60,Business Economics,Finance
0,50,100,100,100,60,50,Business Economics,NA
0,20,5,35,65,20,70,Business Economics,Marketing
30,30,30,50,60,70,50,Business Economics,Finance
25,30,10,40,15,10,0,Business Economics,"Technology, Innovation & Supply Chain and Law & Society"
0,50,75,75,75,80,50,Business Economics,NA
5,20,40,5,40,5,60,Business Economics,NA
20,30,100,100,100,40,90,Business Economics,NA
10,20,10,10,100,70,100,Economics,Marketing
20,20,20,100,100,70,90,Cognitive & Behavioral Neuroscience & Business Economics,NA
10,10,10,10,50,80,100,Business Economics,Finance
0,30,50,85,100,85,85,Business Economics,Entrepreneurship & Innovation
20,40,40,60,100,30,70,Business Economics,NA
0,15,50,75,50,15,50,Business Economics,Philosophy
0,50,75,60,60,30,80,Business Economics,NA
60,60,85,90,100,85,100,Business Economics,NA
0,0,0,100,100,50,100,Business Economics,NA
30,35,30,60,80,40,90,Business Economics,Finance
0,30,40,30,75,70,80,Business Economics,Marketing
70,70,40,80,60,33,33,Business Economics,Computer Science
80,95,75,80,80,25,25,Business Economics,NA
75,30,65,70,70,30,40,Business Economics,Computational Social Science
0,10,0,10,90,30,90,Business Economics,Finance
5,15,60,40,93,15,95,Business Economics,NA
5,5,1,50,90,50,50,Business Economics,NA
50,65,60,100,80,100,80,Business Economics,Business Analytics
0,15,50,80,90,20,80,Business Economics,NA
0,20,30,30,90,20,100,Business Economics,Marketing
60,49,70,70,35,30,5,Business Economics,NA
10,50,40,50,90,90,80,Business Economics,NA
0,0,50,100,100,70,100,Business Economics,NA
20,40,40,50,70,50,70,Business Economics,NA
55,50,45,80,90,100,90,Business Economics,Business Analytics
20,20,0,10,60,40,70,International Business,NA
0,20,20,75,100,90,90,Business Economics,NA
10,10,5,11,20,25,40,Business Economics,NA
0,30,15,50,70,100,80,Business Economics,NA
30,50,50,60,75,100,80,Business Economics,"Technology, Innovation & Supply Chain and Entrepreneurship & Innovation"
0,0,10,50,60,70,80,Undecided,NA
20,20,50,75,90,50,100,Business Economics,NA
50,70,40,70,85,55,35,Business Economics,NA
30,70,60,85,90,50,30,Business Economics,Accounting & Entrepreneurship & Spanish
0,0,30,50,70,20,30,Business Economics,Finance
5,30,30,60,70,70,60,Business Economics,Accounting
0,0,0,50,70,0,90,Business Economics,Marketing
0,0,0,100,100,100,100,Business Economics,Marketing
10,15,5,40,80,60,70,Business Economics,Accounting & Business Analytics
10,20,10,75,85,35,90,Business Economics,Cognitive Science
0,60,45,80,80,100,50,Business Economics,Accounting
20,35,40,75,40,70,10,Business Economics,NA
0,30,10,60,90,65,70,Business Economics,Accounting
30,15,10,5,10,33,10,Business Economics,REEES
70,60,50,80,90,70,80,Cognitive Science,Business Analytics & Computational Social Science
20,80,70,90,100,90,40,Business Economics,NA
10,5,35,99,99,50,30,Business Economics,NA
0,75,75,87,90,30,80,Business Economics,Accounting & Finance
10,10,5,60,90,10,90,Business Economics,"Technology, Innovation & Supply Chain"
0,50,25,0,0,10,30,Business Economics,Accounting
75,60,70,75,75,80,90,Business Economics,"Technology, Innovation & Supply Chain"
50,70,60,90,75,80,70,Business Economics,Accounting & Finance
0,0,60,75,40,80,30,Business Economics,Finance
80,0,70,70,80,50,75,Computer Science,Business Economics
0,50,20,0,10,80,80,Business Economics,Marketing & Finance
0,50,80,80,100,80,80,Business Economics,NA
0,0,40,40,70,30,80,Business Economics,Accounting
5,10,0,100,100,40,40,Business Economics,NA
0,25,30,50,80,50,75,Business Economics,Marketing & Business Analytics
30,80,80,100,90,70,30,Business Economics,Philosophy
35,50,80,90,100,65,90,Business Economics,Business Analytics
0,0,50,20,80,70,100,Business Economics,NA
0,4,0,7,4,8,10,Neuroscience & Business Economics,NA
0,80,30,85,100,85,90,Business Economics,Marketing
0,50,40,65,90,70,90,Business Economics,NA
20,60,50,50,60,20,70,Business Economics,NA
0,0,30,80,90,30,70,Business Economics,Cognitive Science
50,40,65,70,40,75,30,Business Economics,Business Analytics
0,70,80,80,100,50,70,Business Economics,Accounting & Finance
0,20,60,85,40,90,60,Business Economics,Finance
0,50,80,80,90,10,30,Business Economics,NA
0,10,10,70,80,50,70,Business Economics,Finance
0,50,25,50,100,75,100,Business Economics,Design
90,0,70,70,70,80,50,Computer Science,Business Economics
0,0,20,65,75,35,10,Business Economics,Finance
50,50,70,80,80,65,70,Business Economics,Mathematics
10,60,40,30,70,60,40,Business Economics,Accounting
0,0,0,0,100,100,95,Business Economics,Human Development Science
20,30,60,80,90,80,90,Business Economics,NA
50,70,70,90,100,60,80,Business Economics,NA
30,40,68,74,90,80,50,Business Economics,NA
